id,nom,divers,datecreat,datemodif
1,Scanner,,2023-10-22 12:56:02.625066,2023-10-22 12:56:02.625066
2,Console d'imagerie,,2023-10-22 12:56:02.625015,2023-10-22 12:56:02.625015
3,Echographe,,2023-10-22 12:56:02.625031,2023-10-22 12:56:02.625031
4,Imprimante Dicom,,2023-10-22 12:56:02.625042,2023-10-22 12:56:02.625042
5,Robot de gravage,,2023-10-22 12:56:02.625062,2023-10-22 12:56:02.625062
6,Imprimante,,2023-10-22 12:56:02.625041,2023-10-22 12:56:02.625041
7,Console EEG,,2023-10-22 12:56:02.625017,2023-10-22 12:56:02.625017
8,Serveur Dicom,,2023-10-22 12:56:02.625070,2023-10-22 12:56:02.625070
9,Robot,,2023-10-22 12:56:02.625060,2023-10-22 12:56:02.625060
10,IRM,,2023-10-22 12:56:02.625047,2023-10-22 12:56:02.625047
11,Endoscope,,2023-10-22 12:56:02.625035,2023-10-22 12:56:02.625035
12,Robot Chirurgical,,2023-10-22 12:56:02.625061,2023-10-22 12:56:02.625061
13,Panel PC,,2023-10-22 12:56:02.625053,2023-10-22 12:56:02.625053
14,Serveur SFTP,,2023-10-22 12:56:02.625072,2023-10-22 12:56:02.625072
15,Lecteur de plaque,,2023-10-22 12:56:02.625048,2023-10-22 12:56:02.625048
16,EEG,,2023-10-22 12:56:02.625032,2023-10-22 12:56:02.625032
17,Serveur,,2023-10-22 12:56:02.625068,2023-10-22 12:56:02.625068
18,Console acquisition,,2023-10-22 12:56:02.625014,2023-10-22 12:56:02.625014
19,Portique Détection,,2023-10-22 12:56:02.625057,2023-10-22 12:56:02.625057
20,PC,,2023-10-22 12:56:02.625055,2023-10-22 12:56:02.625055
21,Routeur,,2023-10-22 12:56:02.625063,2023-10-22 12:56:02.625063
22,Graveur,,2023-10-22 12:56:02.625040,2023-10-22 12:56:02.625040
23,Interface,,2023-10-22 12:56:02.625046,2023-10-22 12:56:02.625046
24,Console,,2023-10-22 12:56:02.625013,2023-10-22 12:56:02.625013
25,Switch,,2023-10-22 12:56:02.625078,2023-10-22 12:56:02.625078
26,Ampli de Brillance,,2023-10-22 12:56:02.625003,2023-10-22 12:56:02.625003
27,Divers,,2023-10-22 12:56:02.625030,2023-10-22 12:56:02.625030
28,Console Radiotherapie,,2023-10-22 12:56:02.625024,2023-10-22 12:56:02.625024
29,Disque reseau,,2023-10-22 12:56:02.625029,2023-10-22 12:56:02.625029
30,en attente,,2023-10-22 12:56:02.625029,2023-10-22 12:56:02.625029
31,Superviseur,,2023-10-22 12:56:02.625077,2023-10-22 12:56:02.625077
32,Client sftp,,2023-10-22 12:56:02.625011,2023-10-22 12:56:02.625011
33,Imprimante Dicom Location,,2023-10-22 12:56:02.625043,2023-10-22 12:56:02.625043
34,Station de Planning,,2023-10-22 12:56:02.625076,2023-10-22 12:56:02.625076
35,Salle de radio,,2023-10-22 12:56:02.625065,2023-10-22 12:56:02.625065
36,Serveur Impression,,2023-10-22 12:56:02.625071,2023-10-22 12:56:02.625071
37,Borne dosimétrie,,2023-10-22 12:56:02.625008,2023-10-22 12:56:02.625008
38,Equipement désinfection,,2023-10-22 12:56:02.625036,2023-10-22 12:56:02.625036
39,Console ECG,,2023-10-22 12:56:02.625016,2023-10-22 12:56:02.625016
40,Camera,,2023-10-22 12:56:02.625009,2023-10-22 12:56:02.625009
41,Console EMG,,2023-10-22 12:56:02.625021,2023-10-22 12:56:02.625021
