id,nom,divers,datecreat,datemodif
1,LECTEUR DE PLAQUE,,2023-10-22 12:56:02.625207,2023-10-22 12:56:02.625207
2,CONSOLE TSI,,2023-10-22 12:56:02.625082,2023-10-22 12:56:02.625082
3,BORNE DOSIMèTRE,,2023-10-22 12:56:02.625056,2023-10-22 12:56:02.625056
4,DRX EVOLUTION,,2023-10-22 12:56:02.625098,2023-10-22 12:56:02.625098
5,APELEM PLATINUM,,2023-10-22 12:56:02.625044,2023-10-22 12:56:02.625044
6,DRX1,,2023-10-22 12:56:02.625099,2023-10-22 12:56:02.625099
7,LECTEUR CR950,,2023-10-22 12:56:02.625206,2023-10-22 12:56:02.625206
8,LECTEUR ELITE,,2023-10-22 12:56:02.625208,2023-10-22 12:56:02.625208
9,REPRO 8900,,2023-10-22 12:56:02.625284,2023-10-22 12:56:02.625284
10,LECTEUR CR850,,2023-10-22 12:56:02.625205,2023-10-22 12:56:02.625205
11,MASTERPAGE,,2023-10-22 12:56:02.625225,2023-10-22 12:56:02.625225
12,REPRO 5850,,2023-10-22 12:56:02.625283,2023-10-22 12:56:02.625283
13,M6800,,2023-10-22 12:56:02.625220,2023-10-22 12:56:02.625220
14,POSTE ACQUISITION,,2023-10-22 12:56:02.625277,2023-10-22 12:56:02.625277
15,CAMERA,,2023-10-22 12:56:02.625064,2023-10-22 12:56:02.625064
16,AMPLI TETIERE,,2023-10-22 12:56:02.625037,2023-10-22 12:56:02.625037
17,MON PC DE TEST,,2023-10-22 12:56:02.625235,2023-10-22 12:56:02.625235
18,HP P2015,,2023-10-22 12:56:02.625172,2023-10-22 12:56:02.625172
19,G1406798,,2023-10-22 12:56:02.625156,2023-10-22 12:56:02.625156
20,G1406807,,2023-10-22 12:56:02.625157,2023-10-22 12:56:02.625157
21,G1004697,,2023-10-22 12:56:02.625150,2023-10-22 12:56:02.625150
22,G1102712,,2023-10-22 12:56:02.625153,2023-10-22 12:56:02.625153
23,G1102711,,2023-10-22 12:56:02.625152,2023-10-22 12:56:02.625152
24,G10109890,,2023-10-22 12:56:02.625151,2023-10-22 12:56:02.625151
25,G1204356,,2023-10-22 12:56:02.625155,2023-10-22 12:56:02.625155
26,PORTABLE,,2023-10-22 12:56:02.625274,2023-10-22 12:56:02.625274
27,CAMERA ES,,2023-10-22 12:56:02.625065,2023-10-22 12:56:02.625065
28,EMGPE,,2023-10-22 12:56:02.625122,2023-10-22 12:56:02.625122
29,G1419751,,2023-10-22 12:56:02.625158,2023-10-22 12:56:02.625158
30,ANT,,2023-10-22 12:56:02.625043,2023-10-22 12:56:02.625043
31,RELECTURE_ANT,,2023-10-22 12:56:02.625282,2023-10-22 12:56:02.625282
32,PORTABLE MME BOUREL,,2023-10-22 12:56:02.625275,2023-10-22 12:56:02.625275
