"Index","Ping","Telnet","Ping Echo","Echo Modalite","Port","Adresse Ip","Aet","Type Machine","Masque","Pacs","EchoStore","Routage","Worklist","Hostname","Modalite","Libelle Hote","Remarque","Localisation","Systeme","Marque","Appareil","Store","EchoWorklist","MacAdresse","Vlan","Dicom","Inventaire","DHCP","PingHost"
1,Ok,"",Ok,Ko,104,"172.16.61.10",NEO1011A,Lecteur de Plaque,"255.255.255.0",DXIRG,Ok,"",OFMEDASYS,DXSPED,DX,"",ancienne mac:  00:1a:a0:b2:3c:39,NEO+1011,"",AGFA,Lecteur de plaque,DXIRGCONVSUD,Ok,A0:8C:FD:E7:9B:76,"2561","","","",""
2,"","","","",0,"172.24.224.11",NXCR30,Lecteur de Plaque,"",-----,Ok,"",OFMEDASYS,"","","","",UCSA,"",AGFA,Lecteur de plaque,DXIRGCONVSUD,Ok,"","2561","","","",""
3,Ok,"","","",104,"192.168.210.2","",Console TSI,"255.255.240.0",-----,"","","",G1004692,"","","neuchir 4eme

vu le 09.08.2016
",Neurochirurgie,"",SIGMACOM-TSI,Console d'imagerie,"","",B8:AC:6F:19:C9:E4,"2796","","2010.04.692","",""
4,Ok,"","","",0,"172.16.60.11","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","","",Radio Urgences,"",APVL,Borne dosimétrie,"","","00:04:5F:94:D1:92","2560","","2023-00696","",""
5,Ok,"","","",0,"172.16.60.12","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","",ancienne 00:04:5F:94:D1:5D   au 01/2023    Romu,Radio Hospitalisation,"",APVL,Borne dosimétrie,"","","00:04:5F:7B:1D:5E","2560","","2023-00700","",""
6,Ok,"","","",0,"172.16.60.13","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","","",Imagerie inter,"",APVL,Borne dosimétrie,"","","00:04:5F:94:D1:4B","2560","","2023-00701","",""
7,Ok,"","","",0,"172.16.60.14","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","","

ancienne mac : 00:04:5F:94:D1:CB   29102020  13",curithérapie réserve,"",APVL,Borne dosimétrie,"","","00:04:5F:96:62:9A","2560","","2023-00699","",""
8,Ok,"","","",0,"172.16.60.15","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","",old mac 00:04:5F:94:D1:63  au 14/2/2023   Romu,Imagerie Med Nuc invivo,"",APVL,Borne dosimétrie,"","","00:04:5F:7B:A9:FA","2560","","2023-00697","",""
9,Ok,"","","",0,"172.16.60.16","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","","",Med Nuc TEP,"",APVL,Borne dosimétrie,"","","00:04:5F:94:D1:8F","2560","","2012-00698","",""
10,Ok,"","","",0,"172.16.60.17","",Borne Dosimètre,"255.255.255.0",-----,"","","","","","","",bloc 1,"",APVL,Borne dosimétrie,"","","00:04:5F:94:D1:A0","2560","","2023-00703","",""
