id,nom,divers,datecreat,datemodif
1,AGFA,,2023-10-22 12:56:02.625207,2023-10-22 12:56:02.625207
2,APVL,,2023-10-22 12:56:02.625208,2023-10-22 12:56:02.625208
3,CARESTREAM,,2023-10-22 12:56:02.625209,2023-10-22 12:56:02.625209
4,COMPUMEDICS,,2023-10-22 12:56:02.625210,2023-10-22 12:56:02.625210
5,DELTAMED,,2023-10-22 12:56:02.625211,2023-10-22 12:56:02.625211
6,EBC,,2023-10-22 12:56:02.625212,2023-10-22 12:56:02.625212
7,EFCR,,2023-10-22 12:56:02.625213,2023-10-22 12:56:02.625213
8,ESAOTE,,2023-10-22 12:56:02.625214,2023-10-22 12:56:02.625214
9,GENERAL ELECTRIQUE,,2023-10-22 12:56:02.625215,2023-10-22 12:56:02.625215
10,GIVEN,,2023-10-22 12:56:02.625216,2023-10-22 12:56:02.625216
11,HAGG-STREIT,,2023-10-22 12:56:02.625217,2023-10-22 12:56:02.625217
12,HEIDELBERG,,2023-10-22 12:56:02.625218,2023-10-22 12:56:02.625218
13,HITACHI,,2023-10-22 12:56:02.625219,2023-10-22 12:56:02.625219
14,ICN Metris,,2023-10-22 12:56:02.625220,2023-10-22 12:56:02.625220
15,JAEGER,,2023-10-22 12:56:02.625221,2023-10-22 12:56:02.625221
16,MARQUETTE,,2023-10-22 12:56:02.625222,2023-10-22 12:56:02.625222
17,MEDATEC,,2023-10-22 12:56:02.625223,2023-10-22 12:56:02.625223
18,MEDSQUARE,,2023-10-22 12:56:02.625224,2023-10-22 12:56:02.625224
19,MEDTECH,,2023-10-22 12:56:02.625225,2023-10-22 12:56:02.625225
20,MEDTRONIC,,2023-10-22 12:56:02.625226,2023-10-22 12:56:02.625226
21,METROVISION,,2023-10-22 12:56:02.625227,2023-10-22 12:56:02.625227
22,MICROMED,,2023-10-22 12:56:02.625228,2023-10-22 12:56:02.625228
23,NIDEK,,2023-10-22 12:56:02.625229,2023-10-22 12:56:02.625229
24,NIHON KODEN,,2023-10-22 12:56:02.625230,2023-10-22 12:56:02.625230
25,PHILIPS,,2023-10-22 12:56:02.625231,2023-10-22 12:56:02.625231
26,PICASSO_MYRIAN,,2023-10-22 12:56:02.625232,2023-10-22 12:56:02.625232
27,PIGE,,2023-10-22 12:56:02.625233,2023-10-22 12:56:02.625233
28,QUANTEL,,2023-10-22 12:56:02.625234,2023-10-22 12:56:02.625234
29,SAGITHERM,,2023-10-22 12:56:02.625235,2023-10-22 12:56:02.625235
30,SANOTEK,,2023-10-22 12:56:02.625236,2023-10-22 12:56:02.625236
31,SECTRA,,2023-10-22 12:56:02.625237,2023-10-22 12:56:02.625237
32,SIA MEDICAL,,2023-10-22 12:56:02.625238,2023-10-22 12:56:02.625238
33,SIEMENS,,2023-10-22 12:56:02.625239,2023-10-22 12:56:02.625239
34,SOLUSCOPE,,2023-10-22 12:56:02.625240,2023-10-22 12:56:02.625240
35,SUPERSONIC,,2023-10-22 12:56:02.625241,2023-10-22 12:56:02.625241
36,TOPCON,,2023-10-22 12:56:02.625242,2023-10-22 12:56:02.625242
37,TOSHIBA,,2023-10-22 12:56:02.625243,2023-10-22 12:56:02.625243
38,VITASCAN,,2023-10-22 12:56:02.625244,2023-10-22 12:56:02.625244
39,ZEISS,,2023-10-22 12:56:02.625245,2023-10-22 12:56:02.625245
40,AIXPLORER,,2023-10-22 12:56:02.625246,2023-10-22 12:56:02.625246
41,MYRIAN,,2023-10-22 12:56:02.625247,2023-10-22 12:56:02.625247
42,DELL,,2023-10-22 12:56:02.625248,2023-10-22 12:56:02.625248
43,XEROX,,2023-10-22 12:56:02.625249,2023-10-22 12:56:02.625249
44,HEWLET PACKARD,,2023-10-22 12:56:02.625250,2023-10-22 12:56:02.625250
45,Divers,,2023-10-22 12:56:02.625251,2023-10-22 12:56:02.625251
46,LEXMARK,,2023-10-22 12:56:02.625252,2023-10-22 12:56:02.625252
47,SIGMACOM-TSI,,2023-10-22 12:56:02.625253,2023-10-22 12:56:02.625253
48,HENRY SCHEIN,,2023-10-22 12:56:02.625254,2023-10-22 12:56:02.625254
49,INOMED,,2023-10-22 12:56:02.625255,2023-10-22 12:56:02.625255
50,OKI,,2023-10-22 12:56:02.625256,2023-10-22 12:56:02.625256
51,SHIMADZU,,2023-10-22 12:56:02.625257,2023-10-22 12:56:02.625257
52,SORIN,,2023-10-22 12:56:02.625258,2023-10-22 12:56:02.625258
53,DELTAMED PICASSO,,2023-10-22 12:56:02.625259,2023-10-22 12:56:02.625259
54,ACCURAY,,2023-10-22 12:56:02.625260,2023-10-22 12:56:02.625260
55,FUJI,,2023-10-22 12:56:02.625261,2023-10-22 12:56:02.625261
56,CGTR,,2023-10-22 12:56:02.625262,2023-10-22 12:56:02.625262
57,EOS IMAGING,,2023-10-22 12:56:02.625263,2023-10-22 12:56:02.625263
58,HOLOGIC,,2023-10-22 12:56:02.625264,2023-10-22 12:56:02.625264
59,BIOMED TEST,,2023-10-22 12:56:02.625265,2023-10-22 12:56:02.625265
60,MORTARA,,2023-10-22 12:56:02.625266,2023-10-22 12:56:02.625266
61,BAYER,,2023-10-22 12:56:02.625267,2023-10-22 12:56:02.625267
62,CHU,,2023-10-22 12:56:02.625268,2023-10-22 12:56:02.625268
63,EDC LAMY,,2023-10-22 12:56:02.625269,2023-10-22 12:56:02.625269
64,SYSTEMMED,,2023-10-22 12:56:02.625270,2023-10-22 12:56:02.625270
65,CVXMEDICAL,,2023-10-22 12:56:02.625271,2023-10-22 12:56:02.625271
66,DRAGER,,2023-10-22 12:56:02.625272,2023-10-22 12:56:02.625272
67,STEPHANIX,,2023-10-22 12:56:02.625273,2023-10-22 12:56:02.625273
68,THERAPIXEL,,2023-10-22 12:56:02.625274,2023-10-22 12:56:02.625274
69,ZIEHM,,2023-10-22 12:56:02.625275,2023-10-22 12:56:02.625275
70,CANTEL MEDICAL,,2023-10-22 12:56:02.625276,2023-10-22 12:56:02.625276
71,PICASSO_SIGMA_NEUR,,2023-10-22 12:56:02.625277,2023-10-22 12:56:02.625277
72,SYNEIKA,,2023-10-22 12:56:02.625278,2023-10-22 12:56:02.625278
73,MAG2HEALTH,,2023-10-22 12:56:02.625279,2023-10-22 12:56:02.625279
74,VIENNE_MEDICAL,,2023-10-22 12:56:02.625280,2023-10-22 12:56:02.625280
75,CANON,,2023-10-22 12:56:02.625281,2023-10-22 12:56:02.625281
76,DOSISOFT,,2023-10-22 12:56:02.625282,2023-10-22 12:56:02.625282
77,FUJIFILM,,2023-10-22 12:56:02.625283,2023-10-22 12:56:02.625283
78,Biomed_Echosens,,2023-10-22 12:56:02.625284,2023-10-22 12:56:02.625284
79,ECENTIAL ROBOTICS,,2023-10-22 12:56:02.625285,2023-10-22 12:56:02.625285
80,TWIN MEDICAL,,2023-10-22 12:56:02.625286,2023-10-22 12:56:02.625286
