"idStore","Nom","IP","port","Aet"
1,MEDASYS,"172.18.11.10",3017,DXIRGAW
2,MEDASYS,"172.18.11.10",3002,DXIRGCT01
3,MEDASYS,"172.18.11.10",3003,DXIRGCT02
5,MEDASYS,"172.18.11.10",3004,DXIRGMRHDX
6,DXIRG Conventionnelle,"172.18.11.10",3012,DXIRGCONVSUD
7,DXIRGECHO,"172.18.11.10",3013,DXIRGECHO
8,SCAN2GHS,"172.18.11.10",3014,SCAN2GHS
9,DXIRG Doullens,"172.18.11.10",3015,DXIRGCT16D
10,DXIRG Codonix,"172.18.11.10",3016,DXIRGCODO
12,IRM Sud,"172.18.11.10",3006,DXIRGMRS2
13,DXIRGCTHI,"172.18.11.10",3005,DXIRGCTHI
14,CRXP,"172.23.239.10",104,CRXP
15,\\srvfichiers\ssauve5\eyecap,"0",0,""
16,MEDSASYS,"172.18.11.10",3006,MRS2
17,DXIRG,"172.18.11.10",3000,DXIRG
18,PC Salle APLIO,"172.26.17.11",104,G1004256
19,XCELERA,"10.208.36.30",104,INTURISPRO_SCP
20,Serveur Pige Nord,"172.25.112.26",104,PIGENORD
22,G1002360 PC de Salle,"172.26.17.12",104,VPVE8C
23,Sanner,"172.18.11.10",3009,DXIRGROP001
24,Irm,"172.18.11.10",3010,DXIRGROP002
25,"","172.18.11.10",3019,DXIRGXA
26,DXIRGINNO,"172.18.11.10",3021,DXIRGINNO
27,DXIRGVCT1,"172.18.11.10",3020,DXIRGVCT1
28,DXIRGSECTRA,"172.18.11.10",3023,DXIRGSECTRA
29,NEXUS,"172.23.127.21",8005,NEXUS
30,VIEWPOINT,"172.26.17.11",104,VIEWPOINT
31,SIMU35A,"10.208.37.24",4006,SIMU35A
32,DXIRGACCURAY,"172.18.11.10",3025,DXIRGACCURAY
33,DXIRGAW2,"172.18.11.10",0,DXIRGAW2
34,DXIRGEOS,"172.18.11.10",3026,DXIRGEOS
35,DXIRGBLOC,"172.18.11.10",3027,DXIRGBLOC
36,ISCV,"172.19.19.20",104,ISCVPRO_SCP
37,DXIRGSIGNA,"172.18.11.10",3030,DXIRGSIGNA
38,VENUS,"172.23.157.21",104,BMPSERVE
39,DEEP UNITY,"172.19.32.28",11112,EE2006194AMIP
40,SYNGOVIA,"10.208.40.33",104,SYNGOVIA4093
41,DOSEWATCH,"10.208.37.105",2003,DW_RDSR_SCP
42,GE_DATAGATE,"10.208.37.107",2001,DW_SCP
