id,num,nom,divers,datecreat,datemodif
1,2507,Biomed_RadioProtect,,2023-10-22 12:56:02.625003,2023-10-22 12:56:02.625003
2,2542,Clinibox,,2023-10-22 12:56:02.625004,2023-10-22 12:56:02.625004
3,2543,Radio_Esaote,,2023-10-22 12:56:02.625005,2023-10-22 12:56:02.625005
4,2544,TPE_IP,,2023-10-22 12:56:02.625006,2023-10-22 12:56:02.625006
5,2545,Radio_Toshiba,,2023-10-22 12:56:02.625007,2023-10-22 12:56:02.625007
6,2546,Radio_Medtronic,,2023-10-22 12:56:02.625008,2023-10-22 12:56:02.625008
7,2547,Radio_Medtech,,2023-10-22 12:56:02.625009,2023-10-22 12:56:02.625009
8,2548,Radio_Codonics,,2023-10-22 12:56:02.625010,2023-10-22 12:56:02.625010
9,2549,Radio_NihonKohden,,2023-10-22 12:56:02.625011,2023-10-22 12:56:02.625011
10,2550,DomitiqMCO,,2023-10-22 12:56:02.625012,2023-10-22 12:56:02.625012
11,2551,Radio_Jaeger,,2023-10-22 12:56:02.625013,2023-10-22 12:56:02.625013
12,2552,Radio_Medatec,,2023-10-22 12:56:02.625014,2023-10-22 12:56:02.625014
13,2553,Radio_Marquette,,2023-10-22 12:56:02.625015,2023-10-22 12:56:02.625015
14,2554,Radio_VITASCAN,,2023-10-22 12:56:02.625016,2023-10-22 12:56:02.625016
15,2555,Radio_Given,,2023-10-22 12:56:02.625017,2023-10-22 12:56:02.625017
16,2556,Radio_Heidelberg,,2023-10-22 12:56:02.625018,2023-10-22 12:56:02.625018
17,2557,Radio_Compumedics,,2023-10-22 12:56:02.625019,2023-10-22 12:56:02.625019
18,2558,Radio_NICOLET,,2023-10-22 12:56:02.625020,2023-10-22 12:56:02.625020
19,2559,Radio_INOMED,,2023-10-22 12:56:02.625021,2023-10-22 12:56:02.625021
20,2560,Dosimetrie,,2023-10-22 12:56:02.625022,2023-10-22 12:56:02.625022
21,2561,Radio_AGFA,,2023-10-22 12:56:02.625023,2023-10-22 12:56:02.625023
22,2562,Radio_DELTAMED,,2023-10-22 12:56:02.625024,2023-10-22 12:56:02.625024
23,2563,Radio_MICROMED,,2023-10-22 12:56:02.625025,2023-10-22 12:56:02.625025
24,2564,Radio_PIGE,,2023-10-22 12:56:02.625026,2023-10-22 12:56:02.625026
25,2565,Radio_Anios,,2023-10-22 12:56:02.625027,2023-10-22 12:56:02.625027
26,2566,Radio_Hitachi,,2023-10-22 12:56:02.625028,2023-10-22 12:56:02.625028
27,2567,Radio_Supersonic,,2023-10-22 12:56:02.625029,2023-10-22 12:56:02.625029
28,2568,Radio_Topcon,,2023-10-22 12:56:02.625030,2023-10-22 12:56:02.625030
29,2569,Radio_Hagg_Streit,,2023-10-22 12:56:02.625031,2023-10-22 12:56:02.625031
30,2590,Radio_Bayer,,2023-10-22 12:56:02.625032,2023-10-22 12:56:02.625032
31,2660,Radio_Ebc,,2023-10-22 12:56:02.625033,2023-10-22 12:56:02.625033
32,2661,Radio_Zeiss,,2023-10-22 12:56:02.625034,2023-10-22 12:56:02.625034
33,2662,Radio_Sanotek,,2023-10-22 12:56:02.625035,2023-10-22 12:56:02.625035
34,2663,Radio_Quantel,,2023-10-22 12:56:02.625036,2023-10-22 12:56:02.625036
35,2664,Radio_Sagitherm,,2023-10-22 12:56:02.625037,2023-10-22 12:56:02.625037
36,2665,Radio_Metrovision,,2023-10-22 12:56:02.625038,2023-10-22 12:56:02.625038
37,2666,Radio_Nidek,,2023-10-22 12:56:02.625039,2023-10-22 12:56:02.625039
38,2667,Radio_sia_medical,,2023-10-22 12:56:02.625040,2023-10-22 12:56:02.625040
39,2668,Radio_Medsquare,,2023-10-22 12:56:02.625041,2023-10-22 12:56:02.625041
40,2669,Radio_ICN_Metrics,,2023-10-22 12:56:02.625042,2023-10-22 12:56:02.625042
41,2710,Radio_SHIMADZU,,2023-10-22 12:56:02.625043,2023-10-22 12:56:02.625043
42,2711,Radio_SORIN,,2023-10-22 12:56:02.625044,2023-10-22 12:56:02.625044
43,2712,Radio_Intrasense,,2023-10-22 12:56:02.625045,2023-10-22 12:56:02.625045
44,2758,Internet_FCV,,2023-10-22 12:56:02.625046,2023-10-22 12:56:02.625046
45,2786,FW-PHILIPS,,2023-10-22 12:56:02.625047,2023-10-22 12:56:02.625047
46,2787,Radio_GE,,2023-10-22 12:56:02.625048,2023-10-22 12:56:02.625048
47,2788,Radio_CareStream,,2023-10-22 12:56:02.625049,2023-10-22 12:56:02.625049
48,2790,Radio_Siemens,,2023-10-22 12:56:02.625050,2023-10-22 12:56:02.625050
49,2791,Radio_Sectra,,2023-10-22 12:56:02.625051,2023-10-22 12:56:02.625051
50,2803,Radio_Accuray,,2023-10-22 12:56:02.625052,2023-10-22 12:56:02.625052
51,3042,Radio_GE_STV,,2023-10-22 12:56:02.625053,2023-10-22 12:56:02.625053
52,1310,rosace-sigmacom,,2023-10-22 12:56:02.625054,2023-10-22 12:56:02.625054
53,1311,PICASSO-SIGMA-INTERC,,2023-10-22 12:56:02.625055,2023-10-22 12:56:02.625055
54,2769,PICASSO-VISIO,,2023-10-22 12:56:02.625056,2023-10-22 12:56:02.625056
55,2770,PICASSO_CGTR,,2023-10-22 12:56:02.625057,2023-10-22 12:56:02.625057
56,2771,PICASSO-DELTAMED,,2023-10-22 12:56:02.625058,2023-10-22 12:56:02.625058
